isolate;A1;A2;A3;A4;B1;B2;B3;C1;maximal error;large error entris (position: entry)
77;0.0341;0.0089;0.0021;0.0;0.0255;0.0488;0.0142;0.8654;0.1483;8: 0.1483, 
78;0.0948;0.0;0.0476;0.0;0.2058;0.1008;0.2928;0.2572;0.3733;8: 0.254, 9: 0.2296, 14: 0.3733, 16: 0.1742, 18: 0.1455, 19: 0.1598, 
79;0.4196;0.0;0.0747;0.0;0.0668;0.1051;0.1434;0.1874;0.1847;8: 0.1847, 14: 0.1528, 19: 0.1361, 
80;0.9855;0.0087;0.0;0.0;0.0009;0.002;0.0;0.0021;0.0139;
81;0.086;0.0;0.0042;0.0129;0.0495;0.8025;0.0277;0.0153;0.0764;
83;0.0501;0.0;0.7868;0.0106;0.0738;0.0117;0.038;0.0277;0.0269;
84;0.5607;0.0308;0.0348;0.0;0.1488;0.0273;0.0352;0.1597;0.1066;8: 0.1066, 
85;0.9132;0.0;0.0093;0.0;0.0083;0.0146;0.0;0.0529;0.0499;
86;0.4272;0.0;0.0335;0.0;0.1594;0.0958;0.0779;0.2023;0.1036;18: 0.1036, 
87;0.8416;0.0;0.0;0.0;0.0145;0.0076;0.07;0.0652;0.1339;18: 0.1339, 
90;0.6131;0.0382;0.0;0.2554;0.0026;0.0832;0.0;0.0066;0.0506;
91;0.0573;0.0;0.0021;0.0;0.0057;0.3277;0.0201;0.5848;0.5373;8: 0.5373, 16: 0.2202, 18: 0.3094, 19: 0.1882, 21: 0.2921, 
92;0.0901;0.0;0.0;0.0;0.0;0.1438;0.0121;0.7532;0.4704;8: 0.4704, 14: 0.1786, 16: 0.1014, 
93;0.0012;0.0021;0.0008;0.0;0.0026;0.001;0.0001;0.9918;0.0107;
94;0.887;0.0;0.0033;0.0;0.0;0.0596;0.0218;0.0279;0.0656;
95;0.003;0.0007;0.0;0.0016;0.0018;0.0;0.0;0.9921;0.0226;
96;0.0007;0.0111;0.0003;0.9834;0.0012;0.0009;0.0;0.0021;0.0081;
97;0.0016;0.009;0.0;0.9824;0.0012;0.0009;0.0;0.004;0.006;
98;0.0001;0.0021;0.0011;0.0016;0.002;0.0;0.0;0.9926;0.0196;
99;0.0147;0.0;0.0;0.3603;0.0;0.113;0.0019;0.5097;0.477;3: 0.1115, 5: 0.1103, 6: 0.1096, 8: 0.477, 13: 0.1407, 19: 0.1107, 
SB;0.6219;0.0;0.0006;0.0;0.0691;0.2017;0.1046;0.0011;0.2297;6: 0.2027, 7: 0.1984, 9: 0.2041, 19: 0.2297, 20: 0.1708, 
SU;0.0081;0.0;0.0;0.0;0.0;0.4677;0.5222;0.0007;0.5073;6: 0.1967, 7: 0.1939, 9: 0.1981, 14: 0.5073, 18: 0.3619, 20: 0.4047, 21: 0.3799, 
